Pto. El Espinillo	埃尔埃斯皮尼约村
Los Hornillos	洛斯奥尔尼约斯村
A. El Sueño	埃尔苏埃尼奥溪
La Cocha	拉科查市
San José de la Cocha	拉科查旁圣何塞镇
R. San Ignacio	圣伊格纳西奥河
Alto del Puesto	阿尔托-德尔普埃斯托村
La Posta	拉波斯塔村
Colonia Nicolás Avellaneda	尼古拉斯-阿韦亚内达移民村
La Cañada	拉卡尼亚达村
Casas Viejas	旧卡萨斯村
Campo Grande	大坎波村
Graneros	格拉内罗斯市
Cara Huasi	卡拉瓦西村
Taco Rodeo	塔科罗德奥村
Barranqueras	巴兰克拉斯村
Palancho	帕兰乔村
Los Vázquez	洛斯巴斯克斯村
Señor del Horcón	奥尔孔先生村
Los Gramajos	洛斯格拉马霍斯村
La Higuerita	拉伊格里塔村
Corral de Bustos	科拉尔-德布斯托斯村
Toro Muerto	托罗穆埃尔托村
Ichipuca	伊奇普卡村
Río Colorado	里奥科洛拉多镇
Simoca	锡莫卡市
San Pedro Mártir	圣-佩德罗-马尔蒂尔村
Santa Cruz	圣克鲁斯镇
A. Pampa Mayo	潘帕马约溪
Los Valenzuelas	洛斯-巴伦苏埃拉斯村
El Pacará	埃尔帕卡拉村
Nueva Trinidad	新特立尼达镇
R. Medina	梅迪纳河
Rinconada	林科纳达
Santa Catalina	圣卡塔利娜
Yavi	亚维
Cochinoca	科奇诺卡
Dr. Manuel Belgrano	曼努埃尔·贝尔格拉诺博士郡
El Carmen	埃尔卡门
Humahuaca	乌马瓦卡
Ledesma	莱德斯马
Palpalá	帕尔帕拉
San Antonio	圣安东尼奥
San Pedro	圣佩德罗
Santa Bárbara	圣巴巴拉
Susques	苏斯克斯
Tilcara	蒂尔卡拉
Tumbaya	通巴亚
Valle Grande	巴耶格兰德
Santa Victoria	圣维多利亚
Iruya	伊鲁亚
General José de San Martín	何塞·德圣马丁将军郡
Orán	奥兰
Anta	安塔
Los Andes	洛斯安第斯
La Poma	拉波马
Rosario de Lerma	罗萨里奥-德莱尔马
Cachi	卡奇
Molinos	莫利诺斯
San Carlos	圣卡洛斯
Cafayate	卡法亚特
La Caldera	拉卡尔德拉
Cerrillos	塞里约斯
La Viña	拉比尼亚
Chicoana	奇科阿纳
Guachipas	瓜奇帕斯
Candelaría	坎德拉里亚
Capital	省会郡
Gral. Martín M.Güemes	马丁圭梅斯
Metán	梅坦
Rosario de la Frontera	罗萨里奥-德拉夫龙特拉
Antofagasta de la Sierra	安托法加斯塔-德拉谢拉
Belén	贝伦
Santa María	圣玛丽亚
Andalgala	安达尔加拉
Ambato	安巴托
Pomán	波曼
Tinogasta	蒂诺加斯塔
Tafí del Valle	塔菲德尔巴耶
Trancas	特兰卡斯
Tafí Viejo	旧塔菲
Yerba Buena	耶尔瓦布埃纳
Lules	卢莱斯
Famaillá	法迈亚
Monteros	蒙特罗斯
Chicligasta	奇克利加斯塔
Río Chico	里奥奇科
J.B.Alberdi	阿尔韦尔迪
La Cocha	拉科查
Graneros	格拉内罗斯
Simoca	锡莫卡
Leales	莱阿莱斯
Cruz Alta	上克鲁斯
San Miguel de Tucumán	圣米格尔-德图库曼
Burruyacú	布鲁亚库
Jiménez	希梅内斯
Banda	拉班拉
Río Hondo	里奥翁多
Guasayán	瓜萨扬
Robles	罗夫莱斯
Copo	科波
Pellegrini	佩莱格里尼
Rivadavia	里瓦达维亚
Alberdi	阿尔韦迪
Moreno	莫雷诺
Figueroa	菲格罗阿
Ramón Lista	拉蒙利斯塔
Matacos	马塔科斯
Bermejo	贝尔梅霍
Patiño	帕蒂尼奥
Pilagás	皮拉加斯
Pirané	皮拉内
Formosa	福莫萨
General Güemes	圭梅斯将军郡
Almirante Brown	布朗海军上将郡
Maipú	迈普
Independencia	独立郡
CDTE.Fernández	费尔南德斯少校郡
General Belgrano	贝尔格拉诺将军郡
9 de Julio	7月9日郡
Chacabuco	查卡布科
12 de Octubre	10月12日郡
2 de Abril	4月2日郡
Fray Justo Santa María del Oro	弗赖胡斯托圣玛里亚-德尔奥罗
Mayor Luis J.Fontana	路易斯丰塔纳市长郡
O'Higgins	奥伊欣斯
San Lorenzo	圣洛伦索
Quitilipi	基蒂利皮
25 de Mayo	5月25日郡
Presidencia de la Plaza	德拉普拉萨总统郡
Tapenagá	塔佩纳加
Libertador General San Martín	解放者圣马丁将军郡
Sargento Cabral	萨尔亨托-卡夫拉尔
1 de Mayo	5月1日郡
General Donovan	多诺万将军郡
Libertad	自由郡
San Fernando	圣费尔南多
Paclín	帕克林
Santa Rosa	圣罗莎
Fray Mamerto Esquiú	弗赖-马梅尔托-埃斯基乌
El Alto	埃尔阿尔托
Valle Viejo	旧巴耶
Capayán	卡帕扬
Ancasti	安卡斯蒂
La Paz	拉巴斯
Silípica	锡利皮卡
Loreto	洛雷托
Choya	乔亚
Atamisqui	阿塔米斯基
Ojo de Agua	奥霍-德阿瓜
Arauco	阿劳科
Castro Barros	卡斯特罗巴罗斯
Chamical	查米卡尔
Chilecito	奇莱西托
Coronel Felipe Varela	费利佩上校郡
Famatina	法马蒂纳
General Ángel Vicente Peñaloza	安赫尔·维森特·佩尼亚洛萨将军郡
General Juan Facundo Quiroga	胡安·法昆多·基罗加将军郡
General Lamadrid	拉马德里德将军郡
General Ocampo	奥坎波将军郡
General San Martín	圣马丁将军郡
Rosario Vera Peñaloza	罗萨里奥·贝拉·佩尼亚洛萨
San Blas	圣布拉斯
Sanagasta	萨纳加斯塔
Vinchina	宾奇纳
Albardón	阿尔瓦东
Angaco	安加科
Calingasta	卡林加斯塔
Caucete	考塞特
Chimbas	钦巴斯
Iglesia	伊格莱西亚
Jáchal	哈查尔
Pocito	波西托
Rawson	罗森
Santa Lucía	圣卢西亚
Sarmiento	萨缅托
Ullum	乌尤姆
Valle Fértil	巴耶费尔蒂尔
Zonda	松达
Las Heras	拉斯埃拉斯
Luján de Cuyot	卢汉德库约特
Tupungato	图蓬加托
Tunuyán	图努扬
Lavalle	拉瓦耶
Capita	省会郡
Junín	胡宁
Guaymallén	瓜伊马延
Godoy Cruz	戈多伊克鲁斯
Ayacucho	阿亚库乔
Belgrano	贝尔格拉诺
La Capital	省会郡
Coronel Pringles	普林格莱斯上校郡
General Pedernera	佩德尔内拉将军郡
Sobremonte	索夫雷蒙特
Tulumba	图伦巴
Ischilín	伊斯奇林
Totoral	托托拉尔
Cruz del Eje	克鲁斯-德尔埃赫
Minas	米纳斯
Colón	科隆
Punilla	普尼亚
Pocho	波乔
San Alberto	圣阿尔韦托
San Javier	圣哈维尔
Calamuchita	卡拉穆奇塔
Tercero Arriba	上特尔塞罗
Río Cuarto	里奥夸尔托
Brigadier Juan Felipe Ibarra	布里加迭尔·胡安·费利佩·伊瓦拉
General Taboada	塔沃阿达将军郡
Aguirre	阿吉雷
Mitre	米特雷
Quebrachos	克夫拉乔斯
Salavina	萨拉维纳
Avellaneda	阿韦亚内达
Río Seco	里奥塞科
Río Primero	里奥普里梅罗
San Justo	圣胡斯托
Río Segundo	里奥塞贡多
Uníon	乌尼翁
Marcos Juárez	马科斯华雷斯
Juárez Celman	华雷斯塞尔曼
Presidente Roque Saenz Peña	罗克-赛恩斯-佩尼亚总统郡
Caseros	卡塞罗斯
Castellanos	卡斯特亚诺斯
Constitución	孔斯蒂图西翁
Garay	加赖
General López	洛佩斯将军镇
General Obligado	奥夫利加多将军郡
Iriondo	伊里翁多
Las Colonias	拉斯科洛尼亚斯
Rosario	罗萨里奥
San Cristóbal	圣克里斯托瓦尔
San Jerónimo	圣赫罗尼莫
Vera	贝拉
Bella Vista	贝亚维斯塔
Goya	戈亚
Esquina	埃斯基纳
Sauce	绍塞
Diamante	迪亚曼特
Federal	费德拉尔
Gualeguay	瓜莱瓜伊
Gualeguaychú	瓜莱瓜伊丘
Islas del Ibicuy	伊维奎群岛郡
Nogoyá	诺戈亚
Paraná	巴拉那
Feliciano	费利西亚诺
Tala	塔拉
Uruguay	乌拉圭
Victoria	维多利亚
Villaguay	比亚瓜伊
San Nicolas	圣尼古拉斯
Ramallo	拉马约
Pergamino	佩尔加米诺
Arrecifes	阿雷西费斯
Baradero	巴拉德罗
Zarate	萨拉特
Pilcomayo	皮科马约
Laishi	莱西
Apóstoles	阿波斯托莱斯
Cainguás	凯恩瓜斯
Candelaria	坎德拉里亚
Concepción de la Sierra	康塞普西翁-德拉谢拉
Eldorado	埃尔多拉多
General Manuel Belgrano	曼努埃尔·贝尔格拉诺将军
Guaraní	瓜拉尼
Iguazú	伊瓜苏
Leandro N. Alem	莱安德罗阿莱穆
Montecarlo	蒙特卡洛
Oberá	奥韦拉
San Ignacio	圣伊格纳西奥
Berón de Astrada	贝龙-德阿斯特拉达
Concepción	康塞普西翁
Curuzú Cuatiá	库鲁苏夸蒂亚
Empedrado	恩佩德拉多
General Alvear	阿尔韦亚尔将军郡
General Paz	帕斯将军郡
Itatí	伊塔蒂
Ituzaingó	伊图萨因戈
Mburucuyá	姆布鲁库亚
Mercedes	梅塞德斯
Monte Caseros	蒙特卡塞罗斯
Paso de los Libres	帕索-德洛斯利布雷斯
Saladas	萨拉达斯
San Cosme	圣科斯梅
San Luis del Palmar	圣路易斯-德尔帕尔马
San Miguel	圣米格尔
San Roque	圣罗克
Santo Tomé	圣托梅
Federación	费德拉西翁
Concordia	孔科尔迪亚
San Salvador	圣萨尔瓦多
Malargüe	马拉圭
San Rafael	圣拉斐尔
Gobernador Dupuy	杜普伊总督郡
Aluminé	阿卢米内
Añelo	阿涅洛
Catán Lil	卡坦利尔
Chos Malal	乔斯马拉尔
Collón Curá	科永库拉
Confluencia	孔夫卢埃恩西亚
Huiliches	维利切丝
Lácar	拉卡尔
Loncopué	隆科普埃
Los Lagos	洛斯拉戈斯
Ñorquín	尼奥尔金
Pehuenches	佩维恩切斯
Picún Leufú	皮昆莱乌富
Picunches	皮昆切斯
Zapala	萨帕拉
Chical Co	奇卡尔科
Chalileo	查利莱奥
Loventué	罗文图埃
Toay	托艾
Conhelo	孔埃洛
Rancul	兰库尔
Realico	雷阿利科
Puelén	普埃伦
Limay Manuida	利迈马努伊达
Utracán	乌特拉坎
Curacó	库拉科
Lihuel Calel	利韦尔卡莱尔
Bariloche	巴里洛切
General Conesa	科内萨将军郡
El Cuy	埃尔库伊
General Roca	罗卡将军郡
Ñorquincó	尼奥尔金科
Pichi Mahuida	皮奇马维达
Pilcaniyeu	皮尔卡尼耶乌
Valcheta	巴尔切塔
Biedma	别德马
Cushamen	库萨门
Futaleufú	富塔莱乌富
Gaiman	盖曼
Gastre	加斯特雷
Languiñeo	兰吉涅奥
Mártires	马尔蒂雷斯
Telsen	特尔森
Chapaleufú	查帕莱乌富
Maracó	马拉科
Trenel	特雷内尔
Quemú Quemú	克穆克穆
Catriló	卡特里洛
Atreucó	阿特雷乌科
Guatraché	瓜特拉切
Hucal	乌卡尔
Caleu Caleu	卡莱乌卡莱乌
Adolfo Alsina	阿道夫-阿尔西纳
Patagones	巴塔哥内斯
Villarino	比亚里诺
Olavarría	奥拉瓦里亚
General Villegas	比耶加斯将军市
Azul	阿苏尔
Puan	潘市
Coronel Suárez	苏亚雷斯上校市
Tres Arroyos	特雷斯阿罗约斯
Coronel Dorrego	多雷戈上校镇
Lincoln	林肯
Trenque Lauquen	特伦克劳克恩
Benito Juárez	贝尼托华雷斯
Bolívar	玻利瓦尔
Tandil	坦迪尔
Guaminí	瓜米尼
General La Madrid	拉马德里将军市
25 de Mayo	5月25日市
Lobería	洛韦里亚
Pehuajó	佩瓦霍
Necochea	内科切阿
Rauch	劳奇
9 de Julio	7月9日市
Tornquist	托恩基斯特
Tapalqué	塔帕尔肯
Balcarce	巴尔卡塞
Carlos Tejedor	卡洛斯-特赫多尔
Adolfo Gonzales Chaves	阿道弗-冈萨雷斯-查韦斯
Daireaux	代罗
Saavedra	萨韦德拉
Pila	皮拉
Chascomús	查斯科穆斯
General Alvear	阿尔韦亚尔将军市
Laprida	拉普里达
Las Flores	拉斯弗洛雷斯
Mar Chiquita	马尔奇基塔
General Lavalle	拉瓦列将军市
General Madariaga	马达里亚加将军市
General Guido	吉多将军市
San Cayetano	圣卡耶塔诺
Saladillo	萨拉迪约
General Pinto	平托将军市
Carlos Casares	卡洛斯-卡萨雷斯
Bahía Blanca	布兰卡港市
Bragado	布拉加多
General Viamonte	比亚蒙特将军市
Chivilcoy	奇维尔科伊
Castelli	卡斯特利
Rojas	罗哈斯
Dolores	多洛雷斯
Monte	蒙特
General Belgrano	贝尔格拉诺将军市
Florentino Ameghino	弗洛伦蒂诺·阿梅吉诺
Magdalena	马格达莱纳
Lobos	洛沃斯
Hipólito Yrigoyen	伊波利托-伊里戈延
Navarro	纳瓦罗
Salto	萨尔托
Punta Indio	蓬塔因迪奥
Roque Pérez	罗克佩雷斯
General Alvarado	阿尔瓦拉多将军市
General Arenales	阿雷纳莱斯将军市
General Pueyrredón	普埃雷东
Tordillo	托尔迪约
Coronel Rosales	罗萨莱斯上校市
Tres Lomas	特雷斯洛马斯
Zárate	萨拉特
General Paz	帕斯将军市
Cañuelas	卡纽埃拉斯
San Andrés de Giles	圣安德烈斯-德希莱斯
Alberti	阿尔韦蒂
Brandsen	布兰森
Lezama	莱萨马
Carmen de Areco	阿雷科河畔卡门
Campana	坎帕纳
Suipacha	绥帕查
La Plata	拉普拉塔
San Antonio de Areco	圣安东尼奥-德阿雷科
Luján	卢汉
Salliqueló	萨伊克洛
General Las Heras	埃拉斯将军市
San Nicolás	圣尼古拉斯
San Vicente	圣维森特
Exaltación de la Cruz	埃克萨尔塔西翁-德拉克鲁斯
Capitán Sarmiento	萨缅托司令市
Marcos Paz	马科斯巴斯
Tigre	蒂格雷
General Rodríguez	罗德里格斯将军市
Pilar	皮拉尔
La Matanza	拉马坦萨
Villa Gesell	比亚赫塞耶
Escobar	埃斯科瓦尔
La Costa	拉科斯塔
Ezeiza	埃塞萨
Berazategui	贝拉萨特吉
Monte Hermoso	蒙特埃莫索
Florencio Varela	弗洛伦西奥-巴雷拉
Merlo	梅洛
Berisso	贝里索
Almirante Brown	布朗海军上将市
Quilmes	基尔梅斯
Presidente Perón	佩龙总统市
Esteban Echeverría	埃斯特万·埃切维里亚市
Ensenada	恩塞纳达
Lomas de Zamora	洛马斯-德萨莫拉
Malvinas Argentinas	马尔维纳斯-阿尔亨蒂纳斯
Pinamar	皮纳马尔
General San Martín	圣马丁将军市
Morón	莫龙
San Isidro	圣伊西德罗
José C. Paz	何塞帕斯
Lanús	拉努斯
Tres de Febrero	二月三日市
Hurlingham	乌尔林加穆
Vicente López	维森特洛佩斯
Escalante	埃斯卡兰特
Florentino Ameghino	弗洛伦蒂诺·阿梅吉诺水库
Paso de Indios	帕索德因迪奥斯
Río Senguer	里奥森格尔
Tehuelches	特韦尔切斯
Corpen Aike	科尔彭艾克
Deseado	德塞阿多
Güer Aike	圭尔艾克
Lago Argentino	阿根廷湖郡
Lago Buenos Aires	布宜诺斯艾利斯湖郡
Magallanes	马加亚内斯
Ushuaia	乌斯怀亚
Río Grande	里奥格兰德
Islas del Atlántico Sur	南大西洋群岛
Estado Plurinacional de Bolivia	多民族玻利维亚国
Cordillera de los Andes	安第斯山脉
República de Chile	智利共和国
Cerro Limitajo	利米塔霍山
Cerro Vicuñahuasi	比库尼亚瓦西山
Cerro Crucesnioj	克鲁塞斯尼奥赫山
Cerro La Ramada	拉拉马达山
Cerro Cuevas	库埃瓦斯山
Cerro Panizos	帕尼索斯山
Quebrada Aguaditajoj	克夫拉达-阿瓜迪塔霍赫山
Cerco	塞尔科山
Laguna Chica	小拉古纳山
Confluencia	孔夫伦西亚山
San Antonio y San Juan	圣安东尼奥和圣胡安山
Cerro Urón	乌龙山
Cerro Chaupiorco	乔皮奥尔科山
Cerro Branqui	布兰基山
Cerro Quellumoco	克尤莫科山
Río Queñoal	克尼奥阿尔河
Rio Granadas	格拉纳达斯河
Río Ciénaga Grande	谢纳加格兰德河
Río Grande de San Juan	格兰德德圣胡安河
Río San Francisco	圣弗朗西斯科河
Río de Merco	德梅尔科河
Río Oratorio	奥拉托里奥河
Quebrada Delgada	德尔加达溪
Quebrada de García	加尔希亚溪
Quebrada Cusi Cusi	库西库西溪
Quebrada de Pupusayoc	普普萨约克溪
Quebrada de Guanapata	瓜纳帕塔溪
Quebrada Potrero	波特雷罗溪
Quebrada de Paicone	派科内溪
Quebrada de Oros	奥罗斯溪
Quebrada Casa Colorada	卡萨科洛拉达溪
Quebrada del Mesón	梅松溪
Quebrada Vallecito	巴耶西托溪
Cusi Cusi	库西库西镇
Chuspimayoc	丘斯皮马约克镇
Paiconé	派科内镇
San Juan de Oros	圣胡安德奥罗斯镇
Oratorio	奥拉托里奥镇
La Ciénaga	拉谢纳加镇
Cerro Milicoyoc	米利科约克山
Mantancillos	曼坦西约斯村
Chanca Loma	钱卡洛马村
Sacho	萨乔村
Suripujio	苏里普希奥村
Oros	奥罗斯村
Timón Cruz	蒂蒙克鲁斯村
Ojo de Agua	奥霍德阿瓜村
Cabrería	卡夫雷里亚村
Pueblo Viejo	普埃夫洛别霍村
Vizcacheras	比斯卡切拉斯村
Puca Pampa	普卡潘帕村
Villa María	比亚玛利亚村
San Francisco	圣弗朗西斯科村
Peñas Blancas	佩尼亚斯-布兰卡斯山岩
La Cruz	拉克鲁斯村
Mina Eureka	埃乌雷卡矿
Mina El Torno	埃尔托尔诺矿
El Angosto	埃尔安戈斯托村
San León	圣莱翁村
Paso León	莱翁山口
Paso San Juan	圣胡安山口
Paso Poquis o de San Pedro	波基斯或圣佩德罗山口
Paso Zapalerí	萨帕莱利山口
Cerro Zapalerí	萨帕莱利山
Paso Brajma	布拉赫马山口
Cerro Brajma	布拉赫马山
Cerro Tinte	延特山
Abra Tinte	延特山口
Cerro Negro	内格罗山
Cerro Vilama	比拉马山
Cerro Bayo	巴约山
Loma Maya Bonita	洛马马亚博尼塔山
Abra Casa de Piedra	卡萨德彼德拉山口
Cumbrera Chilena	智利山峰
Cumbrera Chilena A	智利山峰A
Cumbrera Chilena B	智利山峰B
Reserva Alto Andina de la Chinchilla	阿尔托安迪纳保护区
capatadero	卡帕塔德罗村
Snias. De Zapaleri	萨帕莱里山脉
Río Tinte	延特河
Río Zapateri	萨帕特里河
La Mesada	拉梅萨达村
El Farallón	埃尔法拉永村
Pabellón	帕韦永村
Pucará	普卡拉村
Quebrada Salle Grande	大萨耶溪
Lagunillas	拉古尼亚斯村
Cerro Salle	萨耶山
Quebrada Colorada	科洛拉达溪
Laguna Cerro Negro	塞罗内格罗湖
Laguna Pululos	普卢洛斯湖
Abra Solterio	索尔特里奥山口
Cerro Colorado	科洛拉达山
Abra Granada	格拉纳达山口
Cerro Granada Ⅱ	格拉纳达山Ⅱ
Veta Mojón	莫洪矿脉
Laguna de Vilama	比拉马湖
Altos de Pupulos	普普罗斯高地
Esquina Sapahua	埃斯基纳萨帕瓦村
Cerro Pululos	普卢洛斯山
Laguna Isla Grande	伊斯拉格兰德湖
Mesadas Culi-Culi	梅萨达斯-库利库利
Culi-Culi	库利库利村
Río Latme	拉特梅河
Cueva Negra	内格拉洞
Mina Colpayoc	科尔帕约克矿
Laguna Arenal	阿雷纳尔湖
Nueva Pirquitas	努埃瓦-皮尔基塔斯镇
Minas Viejas	别哈斯矿
Abra Bonanza	博南萨山口
Quebrada Bacay	巴凯溪
Ceja Grande	大塞哈村
Ojo de Catal	奥霍德卡塔尔村
Laguna Palar	帕拉尔湖
Laguna Catal	卡塔尔湖
Mina Campanario	坎帕纳里奥矿
Loma Azul	阿苏尔山脊
Veta Pirquitas	皮尔基塔斯矿脉
Río Coyaguaima	科亚瓜伊马河
Filo de Guinas	菲洛德吉纳斯村
Laguna Honda	翁达湖
Laguna Guindas	金达斯湖
Laguna Tiu Laguna	休湖
Boratera Edith	博拉特拉埃迪特矿
Coyaguaima	科亚瓜伊马村
Laguna Blanca	布兰卡湖
Alto Nevado de San Pedro	圣佩德罗雪山
Rosario de Susques	罗萨里奥-德苏斯克斯村
Puesto Piedras Blancas	彼德拉斯-布兰卡斯村
Abra Toma	托马山口
Río San José	圣何塞河
Ichaca	伊查卡村
Río Torupa	托鲁帕河
Río Pairique	派里克河
Puesto Corral Blanco	科拉尔布兰科村
Chorra	乔拉矿
Quebrada Moranao	莫拉瑙溪
Pairique Chico	小派里克高地
Río Sosario	索萨里奥河
Oke Loma	奥科山脊
laguna Comisaría	科米萨里亚湖
Río Tiomayo	蒂奥马约河
Río Orosmayo	奥罗斯马约河
Laguna Larga	拉尔加湖
Río Cuchuhuasi	库丘瓦西河
Lagunas Guari Guasi	瓜里瓜西湖
Río Herrana	埃拉纳河
Río Toronsaire	托龙赛雷河
Río Ajedrez	阿赫德雷斯河
Río Lopiara	洛皮亚拉河
Río Porvenir	波尔韦尼尔河
Río Candado	坎达多河
Laguna Blanca o Puri Picán	布兰卡或普里皮坎湖
Cerro Orosmayo	奥罗斯马约山
Mesa de Molenuyo	梅萨-德莫莱努约
Orosmayo	奥罗斯马约村
Liviara	利维亚拉镇
Santo Domingo	圣多明各村
Nazareno	纳萨雷诺村
Lopiara	洛皮亚拉村
Abra El Mojón	埃尔莫洪山口
Cerro Macho Cruz	马乔克鲁斯山
Tolamayo	托拉马约村
Sierra de Carahuasi	卡拉瓦西山脉
Quebrada Ajedrez	阿赫德雷斯溪
Cerro Colorado	科洛拉多山
Abra Galán	加兰山口
Cerro Galán	加兰山
Antiguyoc	安蒂古约克村
Salitre	萨利特雷
Puesto Toroyo	托罗约村
Coipayo	科伊帕约村
Altos de La Torre	托雷高地
Peña Blanca	布兰卡山岩
San Marcos	圣马尔科斯
Barrealito	巴雷阿利托村
Ramallo	拉马约村
San José	圣何塞村
Abra de Gallo	加约山口
Cerro Gavalonga	加瓦隆加山
Campo Amarillo	阿马里约平原
Puesto Corral Grande	大科拉尔村
Puesto Tabladita	塔夫拉迪塔村
Abra Grande	格兰德山口
Puesto Agua Caliente	阿瓜卡连特村
Puesto Encrucijada	恩克鲁西哈达村
Sierra de Quichagua	基查瓜山脉
Quebrada Matadero	马塔德罗溪
Alto de Coquenayoc	科克纳约克高地
Río Blanco	布兰科河
Abra Chajchurina	查赫丘里纳山口
Cerro Convento	孔本托山
Cerro Torre	托雷山
Quebrada Barrialito	巴里亚利托溪
Ojo de Laguna	奥霍德拉古纳村
Termas	特尔马斯村
Empalme	恩帕尔梅村
Cerro Coranzuli	科兰苏利山
Campo Mochana	莫查纳平原
Guayrazul	瓜伊拉苏尔村
Abra Rachaite	拉柴特山口
Rachaite	拉柴特村
Alto de Macón	马孔高地
Cueva	库埃瓦村
Reserva Provincial	省级保护区
Cantera Laguna Guachalajte	瓜查拉赫特湖矿区
Laguna Esquinas Negras	埃斯基纳斯-内格拉斯湖
Laguna Guachalajte	瓜查拉赫特湖
Pampa Pabellón	帕韦永草原
Boratera Iglesia	博拉特拉-伊格莱西亚矿
Mina Cordillera	科尔迪耶拉矿
El Rosal	埃尔罗萨尔村
Pairique Grande	大派里克
Río Toro	托罗河
El Toro	埃尔托罗村
Puesto Negra Muerta	内格拉穆埃尔塔村
Mina Turu lari	图鲁拉里矿
Turu Lari	图鲁拉里村
Puesto Ciénaga Redonda	谢纳加雷东达村
A Macho Muerto	阿马乔穆埃尔托河
Loma Blanca	洛马布兰卡村
Saladillo	萨拉迪约村
Cerro Tocol	托科尔山
Coranzuli	科兰苏利镇
Mina Loma Blanca	洛马布兰卡矿
Abra Barro Blanco	巴罗布兰科山口
Tanques	坦克斯村
San Juan de Quillaques	圣胡安-德基亚克斯村
Río Tocol	托科尔河
Arroyo Lapas	拉帕斯溪
Potrero	波特雷罗村
Huaira Huasi	瓦伊拉瓦西村
Matanzal	马坦萨尔村
Cerro Vaqueros	巴克罗斯山
Cerro Grande	格兰德山
Camino Esmoraca a Villazón	卡米诺-埃斯莫拉卡-阿-比亚松山
Cerro Cóndor	孔多尔山
Loma La Florida	洛马拉夫洛里达山
Cerro Tablón	塔夫隆山
Casira	卡西拉山
Calahoyo	卡拉奥约山
Abra de Huajra	阿夫拉德瓦赫拉山
Pampa Grande	大潘帕村
El Queñoal	埃尔克尼奥阿尔村
Santa Catalina	圣卡塔利娜镇
Quellulloc	克尤约克村
Casira	卡西拉镇
Minas Azules	米纳斯阿苏莱斯
Quebrada Palca	帕尔加溪
Río Santa Catalina	圣卡塔利娜河
Hornillos	奥尔尼约斯村
Puesto Grande	大普埃斯托村
Calahoyo	卡拉奥约村
Cienaguillas	谢纳吉亚斯镇
El Hurón	埃尔乌龙村
Puesto Chico	小普埃斯托村
Pol	波尔村
Yoscaba	约斯卡瓦村
Altos de Yoscaba	约斯卡瓦高地
Rodeo Chico	小罗德奥村
Monumento Natural Laguna de Los Pozuelos	洛斯波苏埃洛斯湖自然纪念物
Pasajes	帕萨赫斯村
Guayatayoc	瓜亚塔约克村
Aguada	阿瓜达村
Laguna de los Pozuelos	波苏埃洛斯湖
V. Cholque	乔尔克村
Chijua	奇华村
Río Colquimayo	科尔基马约河
Río Pincullo	平库约河
Río Cincel	辛塞尔河
Río Peñas Blancas	佩尼亚斯-布兰卡斯河
Ramadas	拉马达斯村
Puesto Casa Chica	小卡萨村
Mina Pan de Azúcar	米纳潘-德阿苏卡尔村
Muñayoc	穆尼亚约克村
La Laguna	拉拉古纳村
Carahuasi	卡拉瓦西村
Abra Moreta	莫雷塔山口
Guardaparque	瓜尔达帕尔克村
Sierra de Cochinoca	科奇诺卡山脉
La Aguada	拉阿瓜达村
Cerrillos	塞里约斯村
Rodeo	罗德奥村
Sierra de Piruruya	皮鲁鲁亚山脉
Tafna Sud	塔夫纳苏德山
Tafna	塔夫纳村
Quebrada de La Quiaca	基阿卡溪
Mojotora	莫霍托拉村
Puente Internacional La Quiaca Yillazón	拉基阿卡比亚松国际桥
Camino Agua chica	小卡米诺阿瓜山
La Quiaca	拉基阿卡市
Cerro Escaya	埃斯卡亚山
Cordón de Escaua	埃斯考阿山
Oratorio	奥拉托里奥村
Piedra Negra	彼德拉内格拉村
Quebrada de Toro Ara	托罗阿拉溪
Pumahuasi	普马瓦西镇
Chocoite	乔科伊特村
Cerro Tacainate	塔凯纳特山
La Intermedia	拉因特尔梅迪亚镇
Río Chocoite	乔科伊特河
Río Colorado	科洛拉多村
Punta de Agua	蓬塔德阿瓜村
Mina Bélgica	比利时矿
Mina Sol	索尔矿
Sansana Norte	北桑萨纳村
Sansana Sur	南桑萨纳村
Corral Blanco	科拉尔布兰科村
Mulli Punco	穆伊蓬科村
Mina Olga	奥尔加矿
Corral de Barrios	科拉尔-德巴里奥斯村
Barrios	巴里奥斯村
Tala Punco	塔拉蓬科村
Pulpera	普尔佩拉村
Cangrejillos	坎格雷希约斯镇
Cangrejos	坎格雷霍斯村
La Redonda	拉雷东达村
Cordón Siete Hermanos	七兄弟山
Yavi Chico	小亚维镇
Yavi	亚维镇
Casti	卡斯蒂村
Quebrada de Casti	卡斯蒂溪
Ovejería	奥韦赫里亚村
Agua Chica	小阿瓜山
Camino a Tarija	卡米诺阿塔里哈山
Bca Yanalpa	布卡亚纳尔帕山
Quebrada de Quirquiinchos	基尔基因乔斯溪
Sierra de Quirquinchos	谢拉-德基尔金乔斯山
Quebrada del Salitre	萨利特雷溪
Inti Cancha	因蒂坎查村
Larcas	拉尔卡斯村
Suripugio	苏里普希奥村
Ríncón de Cajas	林孔德卡哈斯村
Agua Chilca	阿瓜奇尔卡村
Cholacor	乔拉科尔村
Abra de Lajas	拉哈斯山口
Abra El Cóndor	孔多尔山口
El Cóndor	埃尔孔多尔镇
Yutucancha	尤图坎查村
Cienaguilla	谢纳吉亚村
Lulluchayoc	卢尤查约克镇
Sierra Santa Victoria	圣维多利亚山脉
